order_id,order_date,customer_id,customer_name,region,product_id,category,product_name,quantity,unit_price,total_price
9508ab3a-951d-4ef1-b54c-f035bc415441,2025-07-29,15f084d9-9e51-4f49-afc8-cff64d4b9f8e,Anthony Jackson,Tashkent,afd043b9-8db6-403f-8c33-a1a2930cf09e,Beauty,Perfume,6,843,5058
d60ab7fd-ea89-4e77-a972-3d55e15dd9a1,2025-03-03,16271163-c947-44b9-99ff-569fb4f20482,Donald Moore,Fergana,c2f1c950-7dbe-4e00-a969-12f8eaf323ae,Beauty,Face Cream,9,682,6138
13909bd7-eeb2-46b7-a92c-e1a411ad5078,2025-07-27,d2bc9591-e7fc-43ce-962f-84ac7f82ac2e,Joe Harrison,Fergana,a245e993-c302-407a-b1be-35f82688ffcf,Beauty,Shampoo,5,957,4785
fabd96dc-c8f1-4d1d-bee6-82c3a40ba9c5,2025-04-07,cfdff29b-9ad8-4bf8-9064-2b1c63c4a6e5,Jordan Gregory,Andijan,0ed0ccd9-7167-44b9-b165-b4f035c399dc,Beauty,Face Cream,9,577,5193
a8d09c77-e6d9-4172-bdc9-2e4103b23f6b,2025-07-22,2c5d406f-36f3-42c4-9abf-3edeb0eb931d,Frederick Horn,Namangan,75af3e12-9647-4f32-9fe9-08c072a88101,Beauty,Lotion,9,892,8028
2305357c-0aa3-4c0a-ac5a-c67e63f6f268,2024-12-26,b77f0ee9-9c70-4d41-8221-c6a97ee71149,Mrs. Kayla Hoffman,Samarkand,d430e35c-2837-4c7d-a22b-fd0dd4754733,Clothing,Hat,5,15,75
e33fecdb-87f0-4640-b20d-7273dec2bd34,2025-08-06,02185cc5-bdfa-4d5e-b27e-f8976d2719ee,Caitlin Daniels,Bukhara,bf05afc2-1c0c-4ce1-ab16-c7c1e6260a6d,Beauty,Shampoo,9,331,2979
7a4d4b95-5b45-4780-be17-660ccd8129de,2025-09-02,c1e9738d-1a0f-4833-960b-bdf9c230740a,Lee Young,Andijan,17b1ce89-66a3-4e41-9ee6-205aa281e7d1,Beauty,Perfume,8,956,7648
1d866920-1a7d-4d09-9a0f-59def1028ffb,2024-12-04,a8ac9eb4-7cda-468d-ae22-b275dbc7b716,Chris Rodriguez,Bukhara,dc05023c-a5ad-4751-9e95-2b4477d05553,Sports,Basketball,9,757,6813
73947a25-9db9-4522-a785-a24b63b74221,2025-02-03,ed4fbb4c-5939-494a-8002-0e1993b45168,Jessica Wong,Namangan,d42f0817-eece-484f-b774-ab4384433bb3,Clothing,Jeans,1,958,958
430b0180-9a53-4e06-81e3-652dfc0fe111,2025-01-17,1abaa3f0-e450-4fcc-a7f4-d6a9f7482a62,Felicia Diaz,Tashkent,1cad985e-51e1-4c08-9f70-c303eb383d5b,Beauty,Perfume,9,332,2988
ec193bd5-f990-4a34-aedd-dc9209ab216d,2025-02-23,22daae43-402f-46c7-bbe2-252a80cc4534,Catherine Kelley,Tashkent,336c665b-76c5-4812-b4be-dd17dac7830b,Beauty,Shampoo,1,856,856
0ab70d8b-ebc9-45f0-864d-c3c888d40c29,2025-03-14,181542f9-c083-4d5f-ab97-c2279eacb8cb,Dustin Becker,Bukhara,e634f854-c279-4275-9d0f-ce9b48bb9f03,Electronics,Headphones,2,436,872
42ec74f6-02e5-485f-be4a-d11d11a0202d,2025-08-22,4156d716-8219-4f2a-ae72-b51b73c8fb1d,Haley Tucker,Samarkand,609790fd-ec69-4f69-9965-d1a394a9aacc,Sports,Yoga Mat,3,165,495
00346e2e-d985-4bed-9e2a-2200685c19ec,2025-09-17,ee3b1546-fb42-4932-ba24-30d4e6f54cf9,Denise Phillips,Samarkand,4a9ebb9c-032a-4918-85a7-f515f3991167,Sports,Dumbbell,10,842,8420
45304751-cc8e-4fd1-a730-e35e0a76d128,2025-08-25,ba608347-260e-41bd-96fe-d9e7482fea80,Jill Adams,Namangan,c74bb03b-3d9a-4448-9f37-e98c120ea4dd,Home Appliances,Oven,3,252,756
3bd6bbdf-776d-4a4e-af1b-7e7abe996f72,2025-07-07,2afbb20f-010b-42e3-9e84-27d8883fc394,Sarah Perez,Namangan,bf450432-7d8e-4f82-bd22-c8e81f51c009,Beauty,Shampoo,7,315,2205
fc21e8af-fec3-4394-9453-dce5b1e8508f,2025-06-19,bc938b57-e5fe-4fab-98db-61cefd73676f,Gregory Nelson,Fergana,2f64b0b2-218d-49d7-a327-1c663d07da94,Beauty,Lipstick,1,174,174
594493e8-5805-43d2-911a-ee00d896101b,2025-01-06,9234086a-a07e-4317-b940-37d925db7fec,Emma Hayes,Andijan,ee31f883-1486-4a1e-9f28-445566b8aae8,Sports,Basketball,9,62,558
da397903-f17e-4e1d-aaf8-ccdff9ee9411,2024-12-04,4f0ea8a0-b563-419c-892d-c7ee49a3edd6,Kristen Griffin,Andijan,a62b32a6-eac5-4c02-a7cb-ae1ae9256908,Clothing,Jeans,10,983,9830
b3b0cbfa-1cd0-401d-ad9e-750ec122dd46,2025-10-18,2cbff235-bc73-4735-b447-15c43044fc9f,David Ortega,Tashkent,f00079f2-ba79-4873-ad27-258e36926440,Electronics,Laptop,2,373,746
1c44e7b2-d3ce-49c2-ac1c-14e785d93ec5,2025-03-14,671d9138-5c99-4d30-b165-707695758ed4,Dr. Rodney Vasquez DVM,Andijan,ebc35b1a-8e28-4911-8a43-50532ff5b238,Beauty,Perfume,5,429,2145
98809f27-dfcf-44f1-8fb2-87756d94744e,2024-12-31,a0e8e33e-1c96-47fc-ae73-fe4734b57826,David Thomas,Fergana,851b2a67-2482-418a-a55a-f8b5bdfa3cb0,Home Appliances,Vacuum Cleaner,8,617,4936
f6a9ea5c-21a9-4839-8164-cd33ffa57909,2025-01-13,4fff5ecd-d9c6-4e19-827b-711691563bf4,Charles Padilla,Samarkand,0693b245-4abd-49c1-8dc0-51c9a85415a7,Clothing,Jeans,2,163,326
c45842f3-8af4-4356-8f59-31bb92587cee,2025-08-07,5b59536d-b5e4-4fab-914a-68f314aa865f,Belinda Perez,Bukhara,595011bd-ea5a-4d58-86af-5f24f1b3399a,Home Appliances,Oven,6,553,3318
6e03ed01-fdce-4c6e-b462-16f5825f5e62,2025-06-03,b4782d3f-ad79-44c0-b209-00f4bdde20c5,Christina Goodman,Samarkand,ddbcd0c5-7b03-42c5-b88c-644c67c078d8,Clothing,Jeans,2,776,1552
77dd59e0-6370-427d-a599-cd2d71452a06,2025-09-11,7e2a9c7d-a27b-4a65-a4d3-691fdb9d2261,Kimberly Reed,Samarkand,65e4aba3-0678-4012-aead-dfaed7a2d0f6,Beauty,Face Cream,8,280,2240
47c4cf65-d113-46db-96e7-5967e70611b6,2025-08-17,7d64fef9-4cce-4c8d-aaee-0f6fbd643e58,Kristi Ramirez,Tashkent,5f8755a5-8837-4df5-b4c0-cd640d90a092,Clothing,Hat,7,646,4522
a286ebc5-6184-4885-826f-49bd1e0eb1ab,2025-09-30,22a616c4-6750-4a41-baff-f3cca401bd09,Maria Estrada,Bukhara,6ee19090-d8e8-4c7d-bad6-b23c7be01991,Home Appliances,Oven,10,435,4350
10916408-0c1a-44fe-aa2f-d7f4b56c206e,2024-12-01,4484394f-2e19-4c24-bdc8-9b66af58f86a,Tracy Wilson,Bukhara,bb8113f1-a689-44e0-a523-a72fb5494a9a,Sports,Dumbbell,8,85,680
c3a7d3d1-ef2a-43ed-aa47-f026af4375c9,2025-09-19,14ba42b3-ff64-489d-848b-d79b492ee07b,Timothy Cannon,Fergana,40a3f83d-c7a2-4899-9d4c-250ed3fa97c0,Beauty,Perfume,7,987,6909
19a14d94-05c3-429f-b2aa-4fbe55d92115,2025-05-14,2470599e-f377-4c23-b55f-9a2589db306c,Kara Kidd,Andijan,b8b82dc1-544f-4d69-8e7b-8aad87562bb5,Clothing,Jacket,5,889,4445
2c60bc8b-233a-4239-983d-7cf74eeb27b6,2025-01-08,9077a09f-03c5-4c84-8544-5c98222381f5,Daniel Garza,Fergana,697502d8-7a6f-4c22-8ae7-56f4ba7acda5,Home Appliances,Refrigerator,8,537,4296
4a291052-20f1-4ce7-b61e-5c7bf2e9376b,2025-07-24,f9e93200-6581-4ceb-8bc3-9c11dcf91f49,James King,Samarkand,485c1718-8a51-4a5c-bb12-b293e73f2cb0,Sports,Dumbbell,8,597,4776
2e4ee334-2e0a-44e9-8d7d-92dc7c1572da,2025-05-16,d8332b8d-6641-43a2-81e5-a0fdf7721dba,George Mccarthy,Andijan,a7dc3a9f-2b61-4ae0-a884-40b55d21106f,Sports,Yoga Mat,8,611,4888
45f9929d-4931-44eb-b813-26e35a1e21b4,2025-05-28,37f529cf-93d3-4d10-873b-9d5f930bd9e2,Ashley Baker,Namangan,e8857900-8e07-4c1b-a07d-8dd3d5af33ab,Electronics,Tablet,3,816,2448
41124725-64a2-4309-981b-3791b2eda284,2025-03-21,a1f4089e-b52f-471e-9ffc-e90ea630c0e1,Jamie Torres,Andijan,73e3e2d5-00c8-4da8-a82e-3664a713b90b,Beauty,Perfume,2,900,1800
